slp:resource_uri;cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar
3ce5b052-eb6e-46d9-b5aa-686a5d2a4d14;;1953-09-17;;VANDA DENIR MILANI NOGUEIRA;;;;
8a4388b1-1f2a-4bd3-b102-71892a714ce9;;1973-10-06;;JESUS SERGIO DE MENEZES;;;;
e613f344-ab38-44e1-9909-bafed34da773;;1972-07-05;;MANUEL MARCOS CARVALHO DE MESQUITA;;;;
7dd7dd24-bb3a-41da-a48f-5005430736f5;;1973-04-09;;CYLMARA FERNANDES DA ROCHA GRIPP;;;;
1ed89ba4-61a4-480f-a800-23e8836ba3f0;;1949-11-17;;FLAVIANO FLAVIO BAPTISTA DE MELO;;;;
f6f88e84-8e7d-4d7f-a7de-14f9b254f4cf;;1960-04-20;;SERGIO DE OLIVEIRA CUNHA;;;;
c8627ffc-de5e-4aab-b0dc-451fa00ed7f3;;1963-06-28;;MARCIO MIGUEL BITTAR;;;;
dbb83282-fdee-4899-9961-d54d7b8dd707;;1964-12-28;;MARIA PERPETUA DE ALMEIDA;;;;
88b25174-e3fd-490a-aec4-435fd36d7968;;1979-11-28;;MARX BELTRAO LIMA SIQUEIRA;;;;
98d6fbe1-2e25-459e-9455-49c76715c859;;1955-09-16;;JOSE RENAN VASCONCELOS CALHEIROS;;;;
26693faf-9ef5-4718-9113-75de1fe9fbe5;;1969-06-25;;ARTHUR CESAR PEREIRA DE LIRA;;;;
5a1f2789-3676-4e98-a01e-1e8409569abd;;1957-07-10;;TEREZA NELMA DA SILVA PORTO VIANA SOARES;;;;
5079136c-070c-43c1-9b1c-a7f70168c216;;1976-10-30;;ISNALDO BULHOES BARROS JUNIOR;;;;
17d76c81-a33e-418b-a0c6-b982f190e56b;;1970-06-02;;SEVERINO DE LIRA PESSOA;;;;
97c7e49e-b610-4fc8-af04-6826b49dae92;;1981-11-05;;RODRIGO SANTOS CUNHA;;;;
cb422a3e-ed25-49f3-a1ec-1e046b41bd24;;1962-01-29;;SERGIO TOLEDO DE ALBUQUERQUE;;;;
53ced865-fccf-4928-864d-a28c4097753d;;1982-05-05;;ALBERTO BARROS CAVALCANTE NETO;;;;
990307eb-9813-48a6-afde-f6cd518c0ddc;;1973-08-29;;MARCELO RAMOS RODRIGUES;;;;
e6ba9797-7ddc-4dca-9b52-b85cc08754db;;1967-08-04;;SIDNEY RICARDO DE OLIVEIRA LEITE;;;;
47ae19f9-482d-4fb7-823e-0381131f5933;;1959-10-10;;JOAO BOSCO GOMES SARAIVA;;;;
6fff2ceb-6b25-41eb-9c25-a1c368657bc6;;1950-11-22;;ATILA SIDNEY LINS DE ALBUQUERQUE;;;;
a2edb30f-b7ff-4f07-831d-8ab7facd5031;;1964-06-23;;JOSE RICARDO WENDLING;;;;
67322aa9-1a84-43fd-810e-892bc1960c70;;1962-12-15;;SILAS CAMARA;;;;
6a3f1b83-1dfe-4b09-b170-82e4a86dda5e;;1955-01-31;;FRANCISCO PLINIO VALERIO TOMAZ;;;;
770f2368-b764-40f8-ac77-38f18431b1c0;;1960-06-12;;CARLOS EDUARDO DE SOUZA BRAGA;;;;
2fc4cfe1-489f-447f-accd-3ef9da3ea4ff;;1976-07-26;;PABLO OLIVA SOUZA;;;;
779c7776-da60-4cbf-9b1d-272e771fd9b1;;1983-09-28;;ACACIO DA SILVA FAVACHO NETO;;;;
57746657-8855-4df5-803c-f4e9f6f00d41;;1972-05-23;;CARLOS CAMILO GOES CAPIBERIBE;;;;
5d1d2d70-fce5-486e-8d0c-6a988f53dbf1;;1979-08-16;;LUIZ CARLOS GOMES DOS SANTOS JUNIOR;;;;
b1eff15f-cb51-45fc-86a4-6e6bc2a349bc;;1966-11-06;;LEDA MARIA SADALA BRITO;;;;
3c1e89b1-3984-4fca-914d-233b9664b398;;1980-11-25;;ALINE PARANHOS VARONIL GURGEL;;;;
42ff9f04-b2fc-4eb2-8cc9-24f87afdf466;;1972-06-11;;RANDOLPH FREDERICH RODRIGUES ALVES;;;;
74288c12-08eb-459c-a189-089f2eaf265a;;1964-10-11;;LUIZ CANTUARIA BARRETO;;;;
c9fd0bb5-917b-407a-ad23-3ae59b55b39a;;1976-10-28;;LEUR ANTONIO DE BRITTO LOMANTO JUNIOR;;;;
a21ec271-8e2c-48a0-9ce7-80a75f153eb2;;1962-07-28;;MANOEL ISIDORIO DE SANTANA JUNIOR;;;;
abb79ef8-7388-47d2-83e0-8281a1107a87;;1964-03-30;;JOSE CERQUEIRA DE SANTANA NETO;;;;
e4b918c1-efb4-4eaa-8c54-b8f21c8adc3e;;1972-11-17;;JOAO INACIO RIBEIRO ROMA NETO;;;;
bb091cb5-6824-4f24-b9ef-54c4998bb7cb;;1955-04-26;;JOSE MARCELO DO NASCIMENTO NILO;;;;
75717bc5-3b82-4efd-abf6-e2ca605a2cda;;1961-08-06;;SERGIO LUIS LACERDA BRITO;;;;
8dc75759-d5c8-4df3-b988-f739947ad763;;1981-02-02;;ADOLFO VIANA DE CASTRO NETO;;;;
5de1bacd-c9ce-4ec9-a3c6-747f3c85c5c1;;1964-12-17;;VALMIR CARLOS DA ASSUNCAO;;;;
9cff8283-7cd3-4e61-9146-1b4003b38375;;1970-12-12;;MARCIO CARLOS MARINHO;;;;
23df16db-5cce-4137-8187-3ae99a0803a6;;1956-12-03;;LIDICE DA MATA E SOUZA;;;;
c967c45c-f0af-4c13-a1d8-ddfc8abf8813;;1950-12-18;;JOSE NUNES SOARES;;;;
d27502ce-43ee-4d23-bf8b-bc209db460d0;;1961-09-03;;RAIMUNDO MAGALHAES COSTA;;;;
90279218-92d4-4120-8c4c-b28caa351946;;1972-08-10;;JOAO CARLOS PAOLILO BACELAR FILHO;;;;
88f26af1-02d2-4578-98be-ea2c7ca15c6f;;1977-07-07;;OTTO ROBERTO MENDONCA DE ALENCAR FILHO;;;;
39130725-f1cc-40ad-b7c9-e14b101b9d2c;;1972-06-22;;ALEX MARCO SANTANA SOUSA;;;;
5b75e5aa-5e34-434c-8c2a-2bec21e1f921;;1948-08-18;;JOSE ALVES ROCHA;;;;
ccc6b1b3-bab9-49e5-8164-2c263743eef8;;1965-02-13;;JOSE ABILIO SILVA DE SANTANA;;;;
6b35e172-9a43-4558-9b6a-6e7276f0bb5d;;1963-01-12;;CLAUDIO CAJADO SAMPAIO;;;;
83ac0a1b-1d40-4675-8d37-cfadf4fe71d1;;1984-11-29;;ANDERSON MACHADO DE JESUS;;;;
9c47926c-a7dd-41d7-b55b-706b3301f69f;;1958-03-05;;ANGELO MARIO CORONEL DE AZEVEDO MARTINS;;;;
49f8d9a8-1aa9-41b3-b83e-74d3bfd13141;;1976-11-17;;CARLOS TITO MARQUES CORDEIRO;;;;
86816858-2dcd-406a-becf-31256a0c1925;;1979-03-11;;CARLOS FELIPE VAZQUEZ DE SOUZA LEAO;;;;
c26dcaf0-20b9-4aa3-a06a-652b0eab8c0d;;1951-03-16;;JAQUES WAGNER;;;;
3a151134-10c8-430e-a8a7-47986552c0df;;1963-11-29;;FELIX DE ALMEIDA MENDONCA JUNIOR;;;;
3c5b2b3c-623c-4707-adc6-45992ba4883a;;1986-01-30;;DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL;;;;
47e0d29b-9219-4700-8c30-931ee26ff805;;1957-03-06;;JOSE LEONIDAS DE MENEZES CRISTINO;;;;
a64ac4a9-0b68-4db5-afc1-0855d5f37816;;1972-09-25;;LUIS EDUARDO GRANGEIRO GIRAO;;;;
c490d1c6-b88c-486f-991f-8d95e3e4650f;;1980-03-17;;DENIS ANDERSON DA ROCHA BEZERRA;;;;
29211ea5-9a74-4d7d-8333-04012bb566fd;;1959-02-13;;JOSE NOBRE GUIMARAES;;;;
f60cea8c-0c92-45ca-91a0-83589245c7c9;;1983-09-26;;ANTONIO JOSE AGUIAR ALBUQUERQUE;;;;
92b574dd-bf91-4562-bdb8-826b73ea4d3f;;1966-10-11;;ANDRE PEIXOTO FIGUEIREDO LIMA;;;;
fe0b09a3-a0d0-4b83-a5cd-5f111453a993;;1959-09-03;;CARLOS MAURO BENEVIDES FILHO;;;;
