slp:resource_uri;cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar
64965d06-916a-4ef9-a8c7-886055dc979e;;1976-10-23;178836.0;ALAN RICK MIRANDA;ALAN RICK;;;
908bcac7-6fc7-4957-9ae9-00a46ad10a37;;1969-02-13;160527.0;AGUINALDO VELLOSO BORGES RIBEIRO;AGUINALDO RIBEIRO;;;
5ff9cfe9-2fee-47b6-b7ac-a1cb282236be;;1987-02-10;160582.0;JOSÉ ALBERTO OLIVEIRA VELOSO FILHO;ALBERTO FILHO;;;
e4e93a22-8177-400a-8231-2e8ae9d06a12;;1960-10-15;160508.0;AFONSO BANDEIRA FLORENCE;AFONSO FLORENCE;;;
0a39e693-7990-4118-8637-278d778df124;;1956-02-05;178903.0;ADILTON DOMINGOS SACHETTI;ADILTON SACHETTI;;;
abf442cf-ef29-40f6-8929-9a4066570ed2;;1962-04-25;136811.0;JOSÉ ALFONSO EBERT HAMM;AFONSO HAMM;;;
92f42906-8bf7-4ede-9623-d436a052aa3a;;1950-01-08;178835.0;AFONSO ANTUNES DA MOTTA;AFONSO MOTTA;;;
8b012d6f-1eef-426e-b2af-921d2cb147f1;;1961-12-15;141372.0;AELTON JOSÉ DE FREITAS;AELTON FREITAS;;;
0cad898e-314c-42ee-9bbb-5ce1578ba9dd;;1969-07-18;196359.0;ADERMIS MARINI JUNIOR;ADÉRMIS MARINI;;;
8d0f8273-6da1-42f9-8125-8fb4ab094096;;1958-02-10;178914.0;ADALBERTO CAVALCANTI RODRIGUES;ADALBERTO CAVALCANTI;;;
fd86d643-1fd8-426e-a8df-cd68d2ec79b9;;1964-09-22;178968.0;ADELSON BARRETO DOS SANTOS;ADELSON BARRETO;;;
55df2c80-2de5-4739-b227-bcd41d1ee1f1;;1963-07-11;178864.0;JOSE ADAIL CARNEIRO SILVA;ADAIL CARNEIRO;;;
cc98fbfb-234a-4cac-98f7-2b45bdfdd530;;1949-05-25;178890.0;ADELMO CARNEIRO LEAO;ADELMO CARNEIRO LEÃO;;;
afecd733-1fa9-4a4b-b639-5302baec6ad9;;1949-08-22;74213.0;ANTONIO BALHMANN CARDOSO NUNES FILHO;ANTONIO BALHMANN;;;
2dd6db55-28c2-4607-8784-d8f45f9e2177;;1969-01-17;160553.0;ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO;ANTONIO BRITO;;;
a287ed45-5fa2-459d-a807-00032c1e5c83;;1964-05-30;133374.0;ADEMIR CAMILO PRATES RODRIGUES;ADEMIR CAMILO;;;
9fa16f07-1fa8-432c-a3e4-6ac61dd14055;;1955-02-19;178837.0;RAIMUNDO ANGELIM VASCONCELOS;ANGELIM;;;
c5830278-3b13-43b0-8dbd-6b22d04918d2;;1953-06-07;74212.0;ANÍBAL FERREIRA GOMES;ANÍBAL GOMES;;;
12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;;1962-03-29;178957.0;ABEL SALVADOR MESQUITA JUNIOR;ABEL MESQUITA JR.;;;
01aab937-df9a-4fb6-b751-789b10f77a10;;1968-05-05;141383.0;ANTONIO CARLOS MARTINS DE BULHÕES;ANTONIO BULHÕES;;;
05aae140-c7f5-4c84-aa55-fac7d5d6911e;;1969-08-28;192120.0;ANGELA ALBINO;ANGELA ALBINO;;;
461af638-907e-4e3d-a786-6208567bae6c;;1971-02-16;178865.0;FLAVIO ALVES SABINO;CABO SABINO;;;
eff1391c-b46a-4f2e-bfce-65f9eddd3b35;;1961-11-11;178881.0;ALUISIO GUIMARAES MENDES FILHO;ALUISIO MENDES;;;
f5735090-acbc-4d7b-b4bc-bdcd1c15c92a;;1969-06-20;141335.0;JOSÉ ROBERTO OLIVEIRA FARO;BETO FARO;;;
9aba8810-4581-4f77-ac52-73f353b125ad;;1961-10-17;74378.0;ASSIS MIGUEL DO COUTO;ASSIS DO COUTO;;;
d327aa35-6715-4841-a8df-e7288a767a03;;1976-03-30;178938.0;BENEVENUTO DACIOLO FONSECA DOS SANTOS;CABO DACIOLO;;;
a3173bb6-fb1e-4ed7-9182-d0f657ff29b7;;1979-11-03;93083.0;CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO;CACÁ LEÃO;;;
8a31f6cd-fc1d-40c4-8fd4-5b03a5e548c6;;1964-03-06;105112.0;LUIZ GIONILSON PINHEIRO BORGES;CABUÇU BORGES;;;
098797ec-2a48-41f8-898c-8b33452ea70c;;1980-04-07;178976.0;BRUNO COVAS LOPES;BRUNO COVAS;;;
69ccdfae-6832-45fe-a9b2-58b0d170fbc8;;1952-08-17;73934.0;CARLOS ALBERTO CAVALCANTE DE SOUZA;CARLOS SOUZA;;;
d8366b31-40f2-4558-bce3-4c24c8897c1b;;1947-03-11;74651.0;CARLOS DO CARMO ANDRADE MELLES;CARLOS MELLES;;;
59c7bbf5-1b53-471c-8448-8e4f280f52ef;;1960-11-21;178900.0;CARLOS EDUARDO XAVIER MARUN;CARLOS MARUN;;;
2ea5d284-fb53-4cc1-8891-aa7843c77504;;1957-08-07;74163.0;CARLOS HUMBERTO MANNATO;CARLOS MANATO;;;
6b2cea53-544d-4dbc-84e2-413132f121e6;;1961-04-21;178993.0;CARLOS HENRIQUE AMORIM;CARLOS HENRIQUE GAGUIM;;;
